id,text
1,Babou m’a laissé un message mais j’étais allé visiter le moulin de Calbejac avec Daniel et Suzy
2,"Je vais aller à l'hôtel, t'embête pas"
3,Pas Mallarmé! C’est pas du jeu!
4,AdolPHE s'est appelé AdolPHE avant Adolf
5,Ah! Pourquoi pas Joseph? C'est classique et joli
6,Qui n'est occupé que par son intérêt propre
7,Continue comme ça et dans dix ans t’es un mec normal
8,"“La Dona de sourire, De sourire et de dire: “Oh! petit fou!...”"
9,"A 18 heures, au café Beaubourg"
10,"Dans l’école privée où il va le mettre, ils trouveront sûrement ça super"
11,tu es quelqu'un qui fait attention
12,Il n'y a pas eu de confidence
13,"Dis-moi Sancho, tu te souviens quand même de la dérouillée que j'ai prise?"
14,"Je fais les courses, je m'occupe des enfants, du linge, de la bouffe, de tout"
15,"Pas du tout Pierre, c'était une blague, juste un blague! Je suis tombé sur ""Adolphe"" dans ta bibliothèque"
16,"Picasso aurait appelé son fils Adolf, il aurait fait un bien plus grand manifeste pour la paix qu'en peignant Guernica"
17,"Tout à l’heure, tu nous reproches de jouer des rôles mais maintenant que la conversation devient sérieuse, tu te planques"
18,Tu te changes ou tu restes comme ça?
19,"tu fais des clafoutis, des manucures, tu bois des Kirs, tu écoutes Etienne Daho, tu mets de l'encens chez toi.."
20,Ça craint le bateau en bas?
21,Starsky et Hutch n'ont pas exterminé la moitié de l'Europe!
22,"Bon allez, magnanime, je te donne un indice"
23,Mais ce n'était pas à moi d'en parler
24,La Reine Claude? Je ne comprends pas
25,"En tout cas j’ai fouillé partout, elles ne sont pas dans la chambre"
26,"T’as pas de malus, toi, avec ton Scénic?"
27,"Non Anna, ça ne leur a pas plu"
28,Et tu es prêt à tout pour l'être
29,Oui c’est ça! Il fait «attention»!..
30,Tu l'as dit quand j'étais pas là..
31,On aurait juste dit “Heil Pépito!” et moi aujourd'hui je serais tranquille
32,Bon ben visiblement on s'est trompé
33,"Après tout, s'il n'a pas envie de nous le dire, ça le regarde"
34,"""Les fondements de la métaphysique des moeurs"".."
35,"Très drôle, bon sans déconner c'est quoi?"
36,"Alors ce qui compte, c'est ce que pensent les gens?"
37,"Non, il est habilement dissimulé, c'est une doublure de veste, qui au premier abord est invisible"
38,Mais pas du tout! Tu sais ce qu'il a fait? Il m'a volé mon statut d'assassin!
39,"Dis donc, ça te va très bien ce petit balayage"
40,"Exactement, un horrible truc frisé qu'elle considérait comme son enfant"
41,"Depuis 30 ans, il n'y a pas un jour où on ne s'est pas appelé, vu ou écrit"
